iter	RMSE
0	4.143026675
1	4.127057068
2	4.112399279
3	4.097415368
4	4.086639712
5	4.073188137
6	4.059701546
7	4.048595808
8	4.040218092
9	4.030830325
10	4.023916316
11	4.014829375
12	4.008549755
13	4.000218963
14	3.994449455
15	3.986688568
16	3.981891736
17	3.976251113
18	3.971347712
19	3.96570517
20	3.961900612
21	3.956661924
22	3.951663577
23	3.948093627
24	3.944305266
25	3.941471842
26	3.937283399
27	3.933450214
28	3.931128953
29	3.926990679
30	3.923455889
31	3.920233004
32	3.91735191
33	3.914315972
34	3.91180645
35	3.908598093
36	3.906259405
37	3.90321512
38	3.900074789
39	3.897709367
40	3.895489253
41	3.892720536
42	3.890859117
43	3.888511379
44	3.886096445
45	3.883728348
46	3.881561685
47	3.880392062
48	3.877560123
49	3.876043448
50	3.874262837
51	3.872676248
52	3.870413951
53	3.86798675
54	3.86675321
55	3.864957175
56	3.862629563
57	3.860636295
58	3.859395434
59	3.85817678
60	3.856241793
61	3.854590731
62	3.853106156
63	3.85194718
64	3.849897181
65	3.848472043
66	3.846784008
67	3.845898622
68	3.844786498
69	3.843988112
70	3.843437173
71	3.842420018
72	3.841502541
73	3.840393431
74	3.839579134
75	3.838352336
76	3.837221287
77	3.835406763
78	3.834167986
79	3.833186309
80	3.831966913
81	3.830242925
82	3.828754686
83	3.827783782
84	3.826183608
85	3.825325709
86	3.824066817
87	3.822985696
88	3.821753929
89	3.82062179
90	3.819554732
91	3.818713603
92	3.817667345
93	3.816958968
94	3.815960738
95	3.814080405
96	3.812876519
97	3.812257466
98	3.810993192
99	3.809845556
100	3.808934492
101	3.807917513
102	3.807160028
103	3.806234705
104	3.805596701
105	3.804941012
106	3.804515105
107	3.802994446
108	3.801862137
109	3.801214718
110	3.799946262
111	3.79842943
112	3.797720017
113	3.797193016
114	3.795960715
115	3.794464709
116	3.793548957
117	3.792541934
118	3.791680383
119	3.791039069
120	3.790533272
121	3.790321622
122	3.789287368
123	3.788718447
124	3.78770565
125	3.787648273
126	3.787000931
127	3.786166796
128	3.785509805
129	3.784210663
130	3.783687999
131	3.782478143
132	3.781749498
133	3.780960321
134	3.780127681
135	3.779741534
136	3.779256708
137	3.77795113
138	3.777258309
139	3.776697288
140	3.776249376
141	3.775809396
142	3.774863786
143	3.774467927
144	3.774327252
145	3.773852025
146	3.773173285
147	3.772455234
148	3.771642549
149	3.770419696
150	3.769817039
151	3.76910542
152	3.768161164
153	3.767698655
154	3.767337155
155	3.766640373
156	3.766023972
157	3.765690963
158	3.764615913
159	3.764043789
160	3.763576696
161	3.762844054
162	3.761468441
163	3.760851101
164	3.760118479
165	3.759229918
166	3.757973631
167	3.757332002
168	3.756465093
169	3.755359879
170	3.755013529
171	3.754453391
172	3.753803374
173	3.753102866
174	3.75267736
175	3.752235077
176	3.75132275
177	3.750274333
178	3.74966877
179	3.749331929
180	3.748699269
181	3.747901346
182	3.746797149
183	3.745580644
184	3.744874953
185	3.744340237
186	3.743859595
187	3.743338807
188	3.742460321
189	3.741491366
190	3.74066358
191	3.740091664
192	3.739741934
193	3.738043064
194	3.737607829
195	3.736610192
196	3.736391516
197	3.735707607
198	3.735315645
199	3.734371635
