iter	Passed	Remaining
0	5	1046
1	10	1010
2	14	951
3	19	932
4	23	916
5	28	926
6	33	910
7	36	875
8	40	868
9	44	850
10	48	837
11	51	814
12	56	809
13	59	795
14	63	779
15	66	763
16	69	751
17	74	752
18	77	741
19	81	731
20	84	720
21	88	717
22	92	709
23	95	700
24	98	692
25	103	693
26	107	686
27	110	678
28	113	670
29	117	664
30	121	664
31	125	658
32	128	651
33	132	645
34	136	644
35	140	640
36	144	636
37	148	632
38	152	630
39	157	628
40	160	624
41	164	620
42	170	622
43	174	618
44	178	613
45	182	609
46	186	608
47	190	603
48	194	599
49	198	596
50	203	594
51	207	589
52	211	585
53	215	582
54	219	579
55	223	575
56	228	573
57	233	572
58	237	568
59	241	563
60	245	559
61	250	556
62	253	552
63	258	548
64	262	545
65	267	542
66	272	540
67	276	536
68	282	535
69	286	532
70	290	528
71	294	524
72	299	520
73	303	517
74	306	511
75	310	506
76	314	502
77	317	497
78	321	492
79	325	487
80	329	483
81	332	478
82	336	473
83	339	468
84	343	464
85	346	459
86	350	454
87	353	449
88	356	444
89	360	440
90	364	436
91	367	431
92	370	426
93	374	422
94	378	418
95	381	413
96	385	409
97	388	404
98	392	400
99	395	395
100	399	391
101	402	386
102	405	382
103	409	378
104	413	373
105	416	369
106	419	364
107	423	360
108	427	357
109	431	353
110	434	348
111	438	344
112	443	341
113	446	337
114	450	332
115	453	328
116	458	324
117	461	321
118	465	316
119	468	312
120	473	309
121	477	305
122	480	300
123	483	296
124	487	292
125	490	288
126	494	284
127	497	279
128	501	275
129	505	272
130	509	268
131	512	264
132	515	259
133	519	255
134	523	251
135	526	247
136	529	243
137	532	239
138	536	235
139	539	231
140	543	227
141	546	223
142	549	218
143	553	215
144	556	211
145	559	206
146	562	202
147	565	198
148	569	194
149	572	190
150	575	186
151	578	182
152	581	178
153	586	175
154	594	172
155	597	168
156	602	165
157	606	161
158	610	157
159	614	153
160	618	149
161	621	145
162	625	142
163	629	138
164	633	134
165	637	130
166	640	126
167	643	122
168	647	118
169	651	114
170	654	110
171	658	107
172	661	103
173	665	99
174	669	95
175	672	91
176	675	87
177	679	84
178	683	80
179	686	76
180	689	72
181	692	68
182	696	64
183	700	60
184	703	57
185	706	53
186	710	49
187	714	45
188	720	41
189	728	38
190	731	34
191	735	30
192	739	26
193	745	23
194	749	19
195	753	15
196	757	11
197	761	7
198	765	3
199	770	0
