property_id,type,activation_date,bathroom,floor,total_floor,furnishing,gym,latitude,longitude,lease_type,lift,locality,parking,property_age,property_size,swimming_pool,pin_code,rent,deposit,building_type,photo_count,request_day_within_7d,categories_7day,request_day_within_3d,categories_3day
ff808081469fd6e20146a5af948000ea,BHK2,2017-03-09 14:36:00,1,3,4.0,SEMI_FURNISHED,1,12.87617415,77.59657101,FAMILY,1,Hulimavu,BOTH,2,850,1,560076.0,12000,120000,AP,7,4,cat_3_to_5,4.0,cat_3_to_5
ff8080814702d3d10147068359d200cd,BHK2,2017-03-07 12:02:00,2,4,11.0,SEMI_FURNISHED,1,13.0184435,77.6781215,FAMILY,1,Ramamurthy Nagar,BOTH,1,1233,1,560016.0,20000,150000,AP,0,5,cat_3_to_5,3.0,cat_3_to_5
ff808081470c645401470fb03f5800a6,BHK2,2017-03-10 13:43:00,2,0,4.0,NOT_FURNISHED,1,12.9750721,77.665865,ANYONE,1,GM Palya,FOUR_WHEELER,0,1200,0,560075.0,15000,75000,AP,12,22,cat_above_5,15.0,cat_above_5
ff808081470c6454014715eaa5960281,BHK3,2017-03-09 22:16:00,2,3,4.0,SEMI_FURNISHED,0,12.88816886,77.59128199,ANYONE,0,Arakere,BOTH,1,1300,0,560076.0,17000,150000,AP,9,7,cat_above_5,5.0,cat_3_to_5
ff808081474aa867014771a0298f0aa6,BHK1,2017-03-15 18:29:00,1,1,2.0,SEMI_FURNISHED,0,12.99024289,77.71296243,ANYONE,0,Hoodi,BOTH,4,450,0,560048.0,6500,40000,IF,7,52,cat_above_5,25.0,cat_above_5
ff8080814780f30801478d14132f03f4,BHK3,2017-03-23 16:13:00,2,2,2.0,SEMI_FURNISHED,1,12.93655693,77.558291,ANYONE,0,Banashankari,TWO_WHEELER,8,1200,1,560050.0,17500,200000,IF,3,1,cat_1_to_2,,
ff8080814780f308014797c79000082e,BHK2,2017-03-06 21:30:00,1,1,3.0,SEMI_FURNISHED,1,12.93022886,77.63331054,BACHELOR,1,Koramangala,TWO_WHEELER,5,600,1,560034.0,20000,100000,IF,5,3,cat_3_to_5,2.0,cat_1_to_2
ff80808147a95f0a0147ab0d88fa0080,BHK2,2017-03-05 18:12:00,2,0,5.0,SEMI_FURNISHED,1,12.99250871,77.65895736,ANYONE,1,Bennigana Halli,BOTH,18,800,1,560016.0,18000,120000,AP,6,4,cat_3_to_5,3.0,cat_3_to_5
ff80808147ac6af10147afc279480099,BHK3,2017-02-07 14:05:00,3,0,2.0,SEMI_FURNISHED,1,12.97994442,77.53887529,FAMILY,0,Vijayanagar,BOTH,15,2000,1,560040.0,25000,250000,IF,12,1,cat_1_to_2,1.0,cat_1_to_2
ff80808147cbdc2a0147cf8577880153,BHK2,2017-03-12 11:21:00,1,1,2.0,NOT_FURNISHED,1,12.95865423,77.7172075,ANYONE,0,Kundalahalli,TWO_WHEELER,8,600,0,560037.0,12000,40000,AP,3,12,cat_above_5,5.0,cat_3_to_5
ff80808147ed5e680147f326ca4c02d2,RK1,2017-02-07 16:10:00,2,3,3.0,SEMI_FURNISHED,0,12.98343008,77.64337632,BACHELOR,0,Indira Nagar,TWO_WHEELER,10,200,0,560038.0,6500,20000,IF,0,13,cat_above_5,7.0,cat_above_5
ff80808147ed5e680147f5206d970403,BHK3,2017-02-28 15:58:00,3,4,4.0,SEMI_FURNISHED,1,13.1129006,77.5695336,ANYONE,1,Yelahanka New Town,BOTH,4,1521,1,560064.0,19000,150000,AP,6,1,cat_1_to_2,,
ff80808147ed5e6801480d0144220ec4,BHK3,2017-03-06 16:24:00,4,6,12.0,SEMI_FURNISHED,1,13.11830253,77.57832128,ANYONE,1,Yelahanka,BOTH,9,1965,1,560064.0,27500,275000,AP,6,2,cat_1_to_2,1.0,cat_1_to_2
ff80808147ed5e68014810c42dba0ff0,BHK2,2017-03-08 17:57:00,2,2,4.0,SEMI_FURNISHED,1,12.9657141,77.7208579,FAMILY,1,Brookefield,BOTH,3,1100,0,560037.0,17000,50000,AP,1,27,cat_above_5,24.0,cat_above_5
ff80808147ed5e68014815e91cd0125a,BHK2,2017-02-17 23:27:00,2,2,4.0,SEMI_FURNISHED,0,12.96882423,77.69370446,FAMILY,1,Doddanekkundi,BOTH,4,1000,0,560037.0,17500,80000,AP,1,5,cat_3_to_5,1.0,cat_1_to_2
ff80808147ed5e68014816e46898133f,BHK2,2017-03-23 16:13:00,1,0,4.0,SEMI_FURNISHED,1,12.88557708,77.64913823,ANYONE,0,Singasandra,NONE,0,950,0,560068.0,12000,50000,IF,0,1,cat_1_to_2,1.0,cat_1_to_2
ff808081482565740148312a4c1c0591,BHK1,2017-03-18 16:44:00,1,1,3.0,SEMI_FURNISHED,0,12.87650691,77.67197627,ANYONE,0,Choodasandra,TWO_WHEELER,1,500,0,560099.0,8000,50000,IF,8,1,cat_1_to_2,,
ff808081483cf6a50148447ec4a702e3,BHK2,2017-03-18 18:31:00,2,0,2.0,SEMI_FURNISHED,0,12.93894321,77.63066994,FAMILY,0,Ejipura,TWO_WHEELER,4,1400,0,560047.0,18000,100000,AP,4,4,cat_3_to_5,,
ff808081483cf6a50148457c37c8036a,BHK2,2017-03-18 09:06:00,1,2,3.0,SEMI_FURNISHED,0,12.9265132,77.6361552,FAMILY,0,Koramangala 1st Block,TWO_WHEELER,6,750,0,560034.0,16000,160000,IH,4,8,cat_above_5,6.0,cat_above_5
ff808081483cf6a501484ada8d1b05e3,BHK2,2017-03-10 13:55:00,2,0,2.0,NOT_FURNISHED,0,12.91992521,77.61066461,FAMILY,0,"BTM Layout, 1st Stage",BOTH,6,900,0,560067.0,17000,100000,IH,5,5,cat_3_to_5,4.0,cat_3_to_5
ff808081485677b101485a6921bd01ae,RK1,2017-02-18 16:07:00,1,3,3.0,NOT_FURNISHED,0,12.95454547,77.73874853,FAMILY,0,Whitefield,BOTH,0,500,0,560066.0,7000,30000,IF,5,4,cat_3_to_5,1.0,cat_1_to_2
ff808081485677b101485a6f3b6b01b0,BHK2,2017-03-08 14:44:00,2,1,3.0,SEMI_FURNISHED,1,12.95966852,77.7477982,FAMILY,0,Ramagondanahalli,BOTH,1,700,1,560066.0,14000,50000,AP,4,12,cat_above_5,5.0,cat_3_to_5
ff808081485677b101485ae9ee5e01ec,BHK2,2017-02-12 13:21:00,2,0,5.0,SEMI_FURNISHED,0,13.05100946,77.63244157,FAMILY,0,Sinthan Nagar,TWO_WHEELER,5,1200,0,560077.0,12000,120000,AP,4,1,cat_1_to_2,1.0,cat_1_to_2
ff808081485677b101485af0731101f2,BHK3,2017-03-15 14:25:00,2,3,4.0,SEMI_FURNISHED,0,12.97932911,77.73385934,FAMILY,1,Whitefield,BOTH,2,1150,0,560066.0,17000,170000,AP,6,1,cat_1_to_2,1.0,cat_1_to_2
ff808081486e6af00148744180fd02b1,BHK2,2017-02-19 10:35:00,2,2,2.0,SEMI_FURNISHED,1,12.8990311,77.65695452,ANYONE,0,HSR Layout,BOTH,2,1050,0,560068.0,18000,100000,IF,6,18,cat_above_5,12.0,cat_above_5
ff808081487ed979014881d92fb9011f,BHK2,2017-02-10 18:29:00,2,1,2.0,SEMI_FURNISHED,0,12.97292336,77.64064245,FAMILY,0,HAL II Stage,BOTH,15,1100,0,560038.0,28000,280000,AP,9,3,cat_3_to_5,2.0,cat_1_to_2
ff808081488f1fd50148939038520277,BHK2,2017-03-28 17:52:00,2,1,1.0,SEMI_FURNISHED,0,13.03568193,77.63108972,FAMILY,0,HBR Layout,TWO_WHEELER,5,1100,0,560043.0,20000,150000,IF,5,1,cat_1_to_2,,
ff8080814897819b014899584ce301c6,BHK2,2017-03-16 22:44:00,2,2,2.0,SEMI_FURNISHED,1,12.92360583,77.62931812,FAMILY,0,Venkatapura,TWO_WHEELER,3,600,0,560034.0,12000,120000,IF,0,1,cat_1_to_2,1.0,cat_1_to_2
ff8080814897819b01489bcf4828024b,BHK2,2017-02-09 19:50:00,2,1,5.0,SEMI_FURNISHED,0,12.97656683,77.70913334,ANYONE,1,Brookefield,BOTH,3,1200,0,560037.0,19000,130000,AP,5,3,cat_3_to_5,3.0,cat_3_to_5
ff80808148af4d480148b046d1b2001f,BHK2,2017-03-30 15:22:00,2,4,4.0,SEMI_FURNISHED,0,12.96289703,77.7508272,FAMILY,1,Marathahalli,BOTH,0,1250,0,560066.0,18000,180000,AP,6,6,cat_above_5,4.0,cat_3_to_5
ff80808148af4d480148b11c711a00f3,BHK1,2017-02-03 19:11:00,1,3,3.0,SEMI_FURNISHED,0,12.95617827,77.65356214,ANYONE,0,Murugeshpalya,BOTH,7,550,0,560017.0,14000,60000,IF,4,7,cat_above_5,2.0,cat_1_to_2
ff80808148bd7a1d0148c0ea594a01ac,BHK2,2017-03-06 19:45:00,1,3,4.0,SEMI_FURNISHED,1,12.8430636,77.656476,ANYONE,1,Electronics City Phase 1,BOTH,0,870,1,560100.0,13500,80000,AP,10,4,cat_3_to_5,2.0,cat_1_to_2
ff80808148c7fbee0148cf9b8a3e0334,BHK2,2017-02-09 19:50:00,2,0,0.0,SEMI_FURNISHED,0,12.90541797,77.61162956,FAMILY,0,BTM Layout,BOTH,8,1100,0,560076.0,22000,220000,IH,8,7,cat_above_5,5.0,cat_3_to_5
ff80808148c7fbee0148cfc0fbf6036a,BHK2,2017-03-09 12:47:00,2,4,4.0,SEMI_FURNISHED,0,12.9549358,77.7205937,FAMILY,1,Whitefield,BOTH,1,1000,0,560066.0,26000,150000,AP,2,1,cat_1_to_2,1.0,cat_1_to_2
ff80808148d5e8280148ea6b36060a0c,BHK1,2017-02-10 18:08:00,1,3,3.0,SEMI_FURNISHED,1,12.95284679,77.69551897,BACHELOR,0,Marathahalli,TWO_WHEELER,4,400,0,560037.0,8500,35000,IF,0,2,cat_1_to_2,2.0,cat_1_to_2
ff80808148f81af60148f88b69c60062,BHK3,2017-03-28 11:17:00,2,0,2.0,SEMI_FURNISHED,1,12.93371457,77.61387932,ANYONE,0,Koramangala,BOTH,10,1100,0,560095.0,25000,80000,IF,7,7,cat_above_5,4.0,cat_3_to_5
ff8080814909c63c01490d60fda20188,BHK2,2017-03-20 11:57:00,2,8,9.0,FULLY_FURNISHED,1,12.91119351,77.67767211,FAMILY,1,Kasavanahalli,BOTH,5,1500,1,560035.0,22500,225000,AP,6,11,cat_above_5,4.0,cat_3_to_5
ff808081492465440149328ba50a0664,BHK3,2017-03-05 18:50:00,3,2,4.0,SEMI_FURNISHED,1,12.9488884,77.7214587,FAMILY,1,Whitefield,BOTH,0,1410,1,560066.0,19500,100000,AP,13,4,cat_3_to_5,1.0,cat_1_to_2
ff8080814924654401493659b1910786,BHK1,2017-02-18 19:41:00,1,1,3.0,SEMI_FURNISHED,0,12.8759179,77.595706,ANYONE,0,Hulimavu,BOTH,2,500,0,560076.0,9500,75000,AP,13,7,cat_above_5,3.0,cat_3_to_5
ff80808149393cef014955efe1500fd1,BHK2,2017-03-25 10:24:00,2,0,0.0,SEMI_FURNISHED,0,12.9117651,77.64929962,FAMILY,0,HSR Layout,BOTH,5,1350,0,560068.0,16500,180000,IH,1,43,cat_above_5,27.0,cat_above_5
ff80808149393cef01495ecb346b1555,BHK3,2017-02-13 16:38:00,3,1,2.0,SEMI_FURNISHED,1,12.90689744,77.57634418,FAMILY,1,JP Nagar,BOTH,8,1450,0,560078.0,30000,300000,AP,8,1,cat_1_to_2,1.0,cat_1_to_2
ff80808149393cef014960f1e0fb16d4,RK1,2017-03-04 14:33:00,1,2,2.0,SEMI_FURNISHED,0,12.92837807,77.62649089,BACHELOR,0,Koramangala,TWO_WHEELER,10,280,0,560030.0,8500,51000,IF,4,4,cat_3_to_5,1.0,cat_1_to_2
ff80808149393cef01497f8659382996,BHK2,2017-03-22 23:23:00,2,0,2.0,SEMI_FURNISHED,0,13.00888017,77.71599137,FAMILY,0,Hoodi,TWO_WHEELER,2,1150,0,560049.0,13500,100000,AP,7,5,cat_3_to_5,4.0,cat_3_to_5
ff808081499ce9550149a2bab4960434,BHK1,2017-02-23 10:49:00,1,1,2.0,SEMI_FURNISHED,0,12.93326067,77.63117317,ANYONE,0,Koramangala,TWO_WHEELER,8,450,0,560034.0,7000,70000,IF,0,15,cat_above_5,13.0,cat_above_5
ff808081499ce9550149acffc4560a52,BHK2,2017-02-22 17:10:00,2,2,2.0,SEMI_FURNISHED,0,13.03016828,77.60791635,FAMILY,0,RT Nagar,TWO_WHEELER,12,1000,0,560032.0,14000,140000,IF,4,1,cat_1_to_2,,
ff80808149b8764a0149bda1f264039d,BHK2,2017-02-20 17:36:00,2,3,3.0,SEMI_FURNISHED,1,12.92740122,77.66361903,FAMILY,1,Bellandur,BOTH,6,1450,1,560102.0,25000,250000,AP,10,5,cat_3_to_5,5.0,cat_3_to_5
ff80808149b8764a0149c1593d24065f,BHK1,2017-02-25 17:48:00,1,1,4.0,SEMI_FURNISHED,1,12.8992327,77.6575497,ANYONE,0,Harlur,BOTH,3,450,0,560068.0,11500,700000,AP,4,12,cat_above_5,10.0,cat_above_5
ff8080814a1e04e5014a1ed897d90145,BHK1,2017-03-23 10:29:00,1,2,2.0,SEMI_FURNISHED,0,12.91839023,77.60445392,FAMILY,0,BTM Layout,TWO_WHEELER,2,600,0,560029.0,10000,40000,AP,6,15,cat_above_5,15.0,cat_above_5
ff8080814a39c526014a3cd9ab140110,BHK2,2017-03-07 18:02:00,2,0,3.0,SEMI_FURNISHED,0,12.99299898,77.74813893,ANYONE,0,Krishnarajapura,TWO_WHEELER,1,1080,0,560049.0,7500,75000,IF,0,1,cat_1_to_2,,
ff8080814a437784014a43819467000c,BHK2,2017-02-16 16:02:00,2,1,1.0,SEMI_FURNISHED,0,12.8884601,77.5945365,FAMILY,0,"Araka Mico Layout, Bengaluru, Karnataka, India",BOTH,5,1200,0,560076.0,16500,160000,IF,0,2,cat_1_to_2,1.0,cat_1_to_2
